"","Lake","Y","Year","WYear","Panel","Lat","Long","InclProb","PanelProb","AdjInclProb","utmx_n83","utmy_n83","lake_eleva","raster_dec","inver_cost","Elev_Stratum"
"1","S001-Out",158.17,2013,5,1,36.983114,-118.489815,0.047,1,0.047,367530.5077,4093892.54,3370,12.57469463,0.08,"High"
"2","S001-Out",151.02,2009,1,1,36.983114,-118.489815,0.047,1,0.047,367530.5077,4093892.54,3370,12.57469463,0.08,"High"
"3","S001-Out",148.28,2010,2,1,36.983114,-118.489815,0.047,1,0.047,367530.5077,4093892.54,3370,12.57469463,0.08,"High"
"4","S001-Out",124.04,2011,3,1,36.983114,-118.489815,0.047,1,0.047,367530.5077,4093892.54,3370,12.57469463,0.08,"High"
"5","S001-Out",129.35,2008,0,1,36.983114,-118.489815,0.047,1,0.047,367530.5077,4093892.54,3370,12.57469463,0.08,"High"
"6","S001-Out",160.28,2012,4,1,36.983114,-118.489815,0.047,1,0.047,367530.5077,4093892.54,3370,12.57469463,0.08,"High"
"7","S002-Out",60.29,2009,1,1,37.150797,-118.726447,0.047,1,0.047,346972.7465,4112852.917,3297,9.36585045,0.107,"High"
"8","S002-Out",37.37,2010,2,1,37.150797,-118.726447,0.047,1,0.047,346972.7465,4112852.917,3297,9.36585045,0.107,"High"
"9","S002-Out",54.13,2012,4,1,37.150797,-118.726447,0.047,1,0.047,346972.7465,4112852.917,3297,9.36585045,0.107,"High"
"10","S002-Out",50.52,2008,0,1,37.150797,-118.726447,0.047,1,0.047,346972.7465,4112852.917,3297,9.36585045,0.107,"High"
"11","S002-Out",57.85,2013,5,1,37.150797,-118.726447,0.047,1,0.047,346972.7465,4112852.917,3297,9.36585045,0.107,"High"
"12","S003-Out",39.65,2009,1,1,36.472962,-118.558533,0.357,1,0.357,360485.0803,4037358.207,3066,4.07494211,0.245,"Low"
"13","S003-Out",32.42,2010,2,1,36.472962,-118.558533,0.357,1,0.357,360485.0803,4037358.207,3066,4.07494211,0.245,"Low"
"14","S003-Out",36.79,2008,0,1,36.472962,-118.558533,0.357,1,0.357,360485.0803,4037358.207,3066,4.07494211,0.245,"Low"
"15","S003-Out",42.74,2012,4,1,36.472962,-118.558533,0.357,1,0.357,360485.0803,4037358.207,3066,4.07494211,0.245,"Low"
"16","S003-Out",45.24,2013,5,1,36.472962,-118.558533,0.357,1,0.357,360485.0803,4037358.207,3066,4.07494211,0.245,"Low"
"17","S003-Out",35.45,2011,3,1,36.472962,-118.558533,0.357,1,0.357,360485.0803,4037358.207,3066,4.07494211,0.245,"Low"
"18","S004-Out",37.82,2013,5,1,36.602956,-118.679983,0.357,1,0.357,349828.7013,4052110.235,2774,2.75031114,0.364,"Low"
"19","S004-Out",31.33,2011,3,1,36.602956,-118.679983,0.357,1,0.357,349828.7013,4052110.235,2774,2.75031114,0.364,"Low"
"20","S004-Out",41.01,2012,4,1,36.602956,-118.679983,0.357,1,0.357,349828.7013,4052110.235,2774,2.75031114,0.364,"Low"
"21","S004-Out",35.87,2008,0,1,36.602956,-118.679983,0.357,1,0.357,349828.7013,4052110.235,2774,2.75031114,0.364,"Low"
"22","S004-Out",56.77,2009,1,1,36.602956,-118.679983,0.357,1,0.357,349828.7013,4052110.235,2774,2.75031114,0.364,"Low"
"23","S004-Out",30.85,2010,2,1,36.602956,-118.679983,0.357,1,0.357,349828.7013,4052110.235,2774,2.75031114,0.364,"Low"
"24","S005-Out",38.46,2010,2,1,36.917874,-118.562882,0.041,1,0.041,360792.079,4086801.178,3359,11.91201019,0.084,"High"
"25","S005-Out",36.16,2011,3,1,36.917874,-118.562882,0.041,1,0.041,360792.079,4086801.178,3359,11.91201019,0.084,"High"
"26","S005-Out",40.38,2008,0,1,36.917874,-118.562882,0.041,1,0.041,360792.079,4086801.178,3359,11.91201019,0.084,"High"
"27","S005-Out",43.75,2009,1,1,36.917874,-118.562882,0.041,1,0.041,360792.079,4086801.178,3359,11.91201019,0.084,"High"
"28","S005-Out",40.76,2013,5,1,36.917874,-118.562882,0.041,1,0.041,360792.079,4086801.178,3359,11.91201019,0.084,"High"
"29","S005-Out",42.37,2012,4,1,36.917874,-118.562882,0.041,1,0.041,360792.079,4086801.178,3359,11.91201019,0.084,"High"
"30","S007-Out",63.09,2008,0,2,36.53003,-118.272513,0.047,0.25,0.01175,385954.4728,4043798.59,3519,8.26457024,0.121,"High"
"31","S007-Out",68.88,2012,4,2,36.53003,-118.272513,0.047,0.25,0.01175,385954.4728,4043798.59,3519,8.26457024,0.121,"High"
"32","S008-Out",91.36,2012,4,2,36.751746,-118.417466,0.206,0.25,0.0515,373450.7546,4068171.804,3150,7.00308657,0.143,"High"
"33","S008-Out",86.75,2008,0,2,36.751746,-118.417466,0.206,0.25,0.0515,373450.7546,4068171.804,3150,7.00308657,0.143,"High"
"34","S009-Out",149.98,2012,4,2,37.096197,-118.568638,0.206,0.25,0.0515,360723.1753,4106526.449,3274,5.72298622,0.175,"High"
"35","S009-Out",97.12,2008,0,2,37.096197,-118.568638,0.206,0.25,0.0515,360723.1753,4106526.449,3274,5.72298622,0.175,"High"
"36","S010-Out",49.5,2008,0,2,36.398613,-118.612065,0.206,0.25,0.0515,355476.78,4029431.006,3115,3.86636019,0.259,"High"
"37","S010-Out",53.2,2012,4,2,36.398613,-118.612065,0.206,0.25,0.0515,355476.78,4029431.006,3115,3.86636019,0.259,"High"
"38","S011-Out",58.2,2012,4,2,36.602557,-118.441833,0.047,0.25,0.01175,370678.6927,4051762.757,3510,18.02151108,0.055,"High"
"39","S011-Out",55.04,2008,0,2,36.602557,-118.441833,0.047,0.25,0.01175,370678.6927,4051762.757,3510,18.02151108,0.055,"High"
"40","S012-Out",128.94,2008,0,2,36.675184,-118.405599,0.041,0.25,0.01025,374456.832,4059695.922,3650,13.49081135,0.074,"High"
"41","S012-Out",189.73,2012,4,2,36.675184,-118.405599,0.041,0.25,0.01025,374456.832,4059695.922,3650,13.49081135,0.074,"High"
"42","S013-Out",80.65,2008,0,2,37.183239,-118.705003,0.206,0.25,0.0515,348773.9394,4116650.776,3408,6.66811752,0.15,"High"
"43","S013-Out",77.97,2012,4,2,37.183239,-118.705003,0.206,0.25,0.0515,348773.9394,4116650.776,3408,6.66811752,0.15,"High"
"44","S015-Out",54.31,2008,0,2,36.42021,-118.614216,0.357,0.25,0.08925,355318.3521,4031673.213,3018,2.54782128,0.392,"Low"
"45","S015-Out",63.71,2012,4,2,36.42021,-118.614216,0.357,0.25,0.08925,355318.3521,4031673.213,3018,2.54782128,0.392,"Low"
"46","S016-Out",51.16,2008,0,2,36.889795,-118.444019,0.047,0.25,0.01175,371301.8329,4083670.512,3150,9.61483479,0.104,"High"
"47","S016-Out",57.26,2012,4,2,36.889795,-118.444019,0.047,0.25,0.01175,371301.8329,4083670.512,3150,9.61483479,0.104,"High"
"48","S017-Out",52.91,2009,1,3,37.0178953,-118.471886,0.047,0.25,0.01175,368889.9373,4097801.26,3539,10.3724966,0.096,"High"
"49","S018-Out",55.82,2009,1,3,37.1366996,-118.6983332,0.047,0.25,0.01175,349159.3927,4111198.837,3442,9.42475224,0.106,"High"
"50","S019-Out",42.22,2009,1,3,36.4688249,-118.5531497,0.206,0.25,0.0515,360942.1668,4036964.883,3188,4.95981646,0.202,"High"
"51","S020-Out",41.27,2009,1,3,36.6573384,-118.7166349,0.206,0.25,0.0515,346743.0753,4058212.006,2871,4.12419415,0.242,"Low"
"52","S021-Out",90.06,2009,1,3,36.9470073,-118.5767652,0.041,0.25,0.01025,359686.7779,4090199.01,3200,11.73816395,0.085,"High"
