Site,Park,Quad,Elev,Year,Y,WYear,Gradient,Long,Lat
AKP_B10_RI_01,KATM,12,Mid,2015,1,7,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Mid,2009,1,1,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Mid,2008,1,0,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Mid,2012,1,4,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Mid,2013,0,5,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Mid,2014,1,6,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,2,Upper,2014,0,6,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,2,Upper,2009,0,1,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,2,Upper,2008,1,0,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,2,Upper,2015,0,7,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,2,Upper,2012,1,4,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,2,Upper,2010,1,2,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,2,Upper,2013,1,5,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Mid,2014,1,6,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Mid,2009,0,1,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Mid,2010,0,2,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Mid,2008,1,0,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Mid,2015,1,7,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Mid,2012,1,4,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Mid,2013,1,5,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Upper,2014,1,6,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Upper,2009,0,1,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Upper,2008,0,0,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,3,Upper,2010,0,2,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Upper,2010,0,2,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Upper,2008,0,0,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Upper,2009,0,1,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Upper,2012,1,4,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Upper,2014,1,6,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Upper,2013,0,5,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,12,Upper,2015,0,7,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,2,Mid,2009,0,1,21.64333333,429509.91,6464552
AKP_B10_RI_01,KATM,2,Mid,2014,1,6,21.64333333,429509.91,6464552
