siteID,Park,xcoord,ycoord,mdcaty,panel,wgt,lake_id,lake_area,lake_perim
S001-Out,SEKI,367530.5077,4093892.54,3,Panel_1,21.45454545,10291,39427.5,1295
S002-Out,SEKI,346972.7465,4112852.917,3,Panel_1,21.45454545,10061,102212,2495
S003-Out,SEKI,360485.0803,4037358.207,1,Panel_1,2.8,20012,79912.3,1371
S004-Out,SEKI,349828.7013,4052110.235,1,Panel_1,2.8,20269,15567.6,549
S005-Out,SEKI,360792.079,4086801.178,4,Panel_1,24.57142857,10547,36227,825
S006-Out,SEKI,347041.9013,4101899.787,6,Panel_2,21.33333333,10161,21867.2,589
S007-Out,SEKI,385954.4728,4043798.59,3,Panel_2,21.45454545,20078,172077,2112
S008-Out,SEKI,373450.7546,4068171.804,2,Panel_2,4.846153846,10454,17445.5,561
S009-Out,SEKI,360723.1753,4106526.449,2,Panel_2,4.846153846,10214,37987,1196
S010-Out,SEKI,355476.78,4029431.006,2,Panel_2,4.846153846,20037,10838.9,407
S011-Out,SEKI,370678.6927,4051762.757,6,Panel_2,21.33333333,20169,102109,1552
S012-Out,SEKI,374456.832,4059695.922,4,Panel_2,24.57142857,20230,10391.4,424
S013-Out,SEKI,348773.9394,4116650.776,2,Panel_2,4.846153846,10041,17635.6,787
S014-Out,SEKI,346272.3086,4083889.544,4,Panel_2,24.57142857,10593,71459.1,1324
S015-Out,SEKI,355318.3521,4031673.213,1,Panel_2,2.8,20041,15286.8,540
S016-Out,SEKI,371301.8329,4083670.512,3,Panel_2,21.45454545,10343,12559.6,483
S017-Out,SEKI,368889.9373,4097801.26,3,Panel_3,21.45454545,10272,40980.2,1338
S018-Out,SEKI,349159.3927,4111198.837,3,Panel_3,21.45454545,10511,17973.8,898
S019-Out,SEKI,360942.1668,4036964.883,2,Panel_3,4.846153846,20382,35070.4,735
S020-Out,SEKI,346743.0753,4058212.006,2,Panel_3,4.846153846,20001,51588.2,905
S021-Out,SEKI,359686.7779,4090199.01,4,Panel_3,24.57142857,10532,10626.8,532
S022-Out,SEKI,346479.4221,4104358.637,6,Panel_3,21.33333333,10129,18145.3,638
S023-Out,SEKI,363299.4485,4046925.253,4,Panel_3,24.57142857,20059,53798.1,1020
S024-Out,SEKI,376304.4969,4069918.456,1,Panel_3,2.8,10451,13798.5,492
S025-Out,SEKI,362915.2972,4108500.935,1,Panel_3,2.8,10220,12649.7,445
S026-Out,SEKI,350269.8602,4025111.1,2,Panel_3,4.846153846,20298,14613.1,504
S027-Out,SEKI,366488.6706,4045136.464,6,Panel_3,21.33333333,20259,31226.4,881
S028-Out,SEKI,376904.0391,4059978.772,4,Panel_4,24.57142857,20240,64522.7,1143
