Site,Park,Year,WYear,xcoord,ycoord,mdcaty,panel,wgt,lake_area,lake_perim,Elevation_m,pH,Cl,EvalStatus,AdjWgt,PanelWt
S001-Out,SEKI,2008,0,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,6.67,10.8,Target - Sampled,65.70454544,1
S001-Out,SEKI,2013,5,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,7.06,2.31,Target - Sampled,210.2545454,1
S001-Out,SEKI,2012,4,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,7.04,2.2,Target - Sampled,65.70454544,1
S001-Out,SEKI,2010,2,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,6.83,1.73,Target - Sampled,65.70454544,1
S001-Out,SEKI,2011,3,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,6.87,1.69,Target - Sampled,75.09090908,1
S001-Out,SEKI,2009,1,367530.5077,4093892.54,3,Panel_1,21.45454545,39427.5,1295,3368,6.8,2.88,Target - Sampled,65.70454544,1
S002-Out,SEKI,2008,0,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.04,1.2,Target - Sampled,65.70454544,1.2
S002-Out,SEKI,2013,5,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.52,2.23,Target - Sampled,210.2545454,1.2
S002-Out,SEKI,2012,4,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.57,2.03,Target - Sampled,65.70454544,1.2
S002-Out,SEKI,2010,2,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.4,1.58,Target - Sampled,65.70454544,1.2
S002-Out,SEKI,2009,1,346972.7465,4112852.917,3,Panel_1,21.45454545,102212,2495,3301,6.8,1.92,Target - Sampled,65.70454544,1.2
S003-Out,SEKI,2012,4,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.44,1.64,Target - Sampled,8.575,1
S003-Out,SEKI,2011,3,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.33,1.38,Target - Sampled,9.8,1
S003-Out,SEKI,2009,1,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.25,1.72,Target - Sampled,8.575,1
S003-Out,SEKI,2008,0,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.24,2,Target - Sampled,8.575,1
S003-Out,SEKI,2013,5,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.4,1.52,Target - Sampled,27.44,1
S003-Out,SEKI,2010,2,360485.0803,4037358.207,1,Panel_1,2.8,79912.3,1371,3038,6.32,1.68,Target - Sampled,8.575,1
S004-Out,SEKI,2012,4,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.27,1.49,Target - Sampled,8.575,1
S004-Out,SEKI,2009,1,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.49,2.03,Target - Sampled,8.575,1
S004-Out,SEKI,2013,5,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.45,1.95,Target - Sampled,27.44,1
S004-Out,SEKI,2011,3,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.26,0.87,Target - Sampled,9.8,1
S004-Out,SEKI,2010,2,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.11,1.71,Target - Sampled,8.575,1
S004-Out,SEKI,2008,0,349828.7013,4052110.235,1,Panel_1,2.8,15567.6,549,2757,6.43,2.1,Target - Sampled,8.575,1
S005-Out,SEKI,2011,3,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.41,1.55,Target - Sampled,86,1
S005-Out,SEKI,2013,5,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.42,2.57,Target - Sampled,240.8,1
S005-Out,SEKI,2012,4,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.43,1.75,Target - Sampled,75.25,1
S005-Out,SEKI,2010,2,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.36,1.64,Target - Sampled,75.25,1
S005-Out,SEKI,2009,1,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,6.34,2.12,Target - Sampled,75.25,1
S005-Out,SEKI,2008,0,360792.079,4086801.178,4,Panel_1,24.57142857,36227,825,3362,5.86,4.5,Target - Sampled,75.25,1
S007-Out,SEKI,2008,0,385954.4728,4043798.59,3,Panel_2,21.45454545,172077,2112,3510,6.43,5.3,Target - Sampled,65.70454544,3
S007-Out,SEKI,2012,4,385954.4728,4043798.59,3,Panel_2,21.45454545,172077,2112,3510,6.59,2.57,Target - Sampled,65.70454544,3
S008-Out,SEKI,2012,4,373450.7546,4068171.804,2,Panel_2,4.846153846,17445.5,561,3088,6.81,2.2,Target - Sampled,14.84134615,3
S008-Out,SEKI,2008,0,373450.7546,4068171.804,2,Panel_2,4.846153846,17445.5,561,3088,6.54,3.1,Target - Sampled,14.84134615,3
S009-Out,SEKI,2008,0,360723.1753,4106526.449,2,Panel_2,4.846153846,37987,1196,3277,6.46,3.8,Target - Sampled,14.84134615,3
S009-Out,SEKI,2012,4,360723.1753,4106526.449,2,Panel_2,4.846153846,37987,1196,3277,6.9,2.88,Target - Sampled,14.84134615,3
