"Site","Park","Year","WYear","Gradient","Long","Lat","Count","wgt","PanelWt"
"AKP_B10_RI_01","KATM","2009",0,21.64333333,429509.91,6464552,3,11299.8,1.16666666666667
"AKP_B10_RI_01","KATM","2010",1,21.64333333,429509.91,6464552,3,11299.8,1.16666666666667
"AKP_B10_RI_01","KATM","2012",3,21.64333333,429509.91,6464552,5,11299.8,1.16666666666667
"AKP_B10_RI_01","KATM","2013",4,21.64333333,429509.91,6464552,9,11299.8,1.16666666666667
"AKP_B10_RI_01","KATM","2014",5,21.64333333,429509.91,6464552,4,11299.8,1.16666666666667
"AKP_B10_RI_01","KATM","2015",6,21.64333333,429509.91,6464552,7,11299.8,1.16666666666667
"AKP_B10_RI_02","KATM","2013",4,22.21555556,412284.88,6451978.5,9,11299.8,1.16666666666667
"AKP_B10_RI_02","KATM","2014",5,22.21555556,412284.88,6451978.5,9,11299.8,1.16666666666667
"AKP_B10_RI_02","KATM","2009",0,22.21555556,412284.88,6451978.5,3,11299.8,1.16666666666667
"AKP_B10_RI_02","KATM","2012",3,22.21555556,412284.88,6451978.5,6,11299.8,1.16666666666667
"AKP_B10_RI_02","KATM","2010",1,22.21555556,412284.88,6451978.5,4,11299.8,1.16666666666667
"AKP_B10_RI_02","KATM","2015",6,22.21555556,412284.88,6451978.5,2,11299.8,1.16666666666667
"AKP_B10_RI_03","KATM","2010",1,22.16266667,406886.16,6441766,6,11299.8,1.16666666666667
"AKP_B10_RI_03","KATM","2009",0,22.16266667,406886.16,6441766,2,11299.8,1.16666666666667
"AKP_B10_RI_03","KATM","2014",5,22.16266667,406886.16,6441766,14,11299.8,1.16666666666667
"AKP_B10_RI_03","KATM","2015",6,22.16266667,406886.16,6441766,6,11299.8,1.16666666666667
"AKP_B10_RI_03","KATM","2013",4,22.16266667,406886.16,6441766,6,11299.8,1.16666666666667
"AKP_B10_RI_03","KATM","2012",3,22.16266667,406886.16,6441766,6,11299.8,1.16666666666667
"AKP_B10_RI_04","KATM","2010",1,20.75377778,413337.44,6450814,7,11299.8,1.16666666666667
"AKP_B10_RI_04","KATM","2012",3,20.75377778,413337.44,6450814,2,11299.8,1.16666666666667
"AKP_B10_RI_04","KATM","2013",4,20.75377778,413337.44,6450814,8,11299.8,1.16666666666667
"AKP_B10_RI_04","KATM","2009",0,20.75377778,413337.44,6450814,8,11299.8,1.16666666666667
"AKP_B10_RI_04","KATM","2014",5,20.75377778,413337.44,6450814,5,11299.8,1.16666666666667
"AKP_B10_RI_04","KATM","2015",6,20.75377778,413337.44,6450814,7,11299.8,1.16666666666667
"AKP_B10_RI_05","KATM","2015",6,21.00666667,413696.06,6438320.5,5,11299.8,1.16666666666667
"AKP_B10_RI_05","KATM","2014",5,21.00666667,413696.06,6438320.5,7,11299.8,1.16666666666667
"AKP_B10_RI_05","KATM","2013",4,21.00666667,413696.06,6438320.5,8,11299.8,1.16666666666667
"AKP_B10_RI_05","KATM","2010",1,21.00666667,413696.06,6438320.5,3,11299.8,1.16666666666667
"AKP_B10_RI_05","KATM","2009",0,21.00666667,413696.06,6438320.5,5,11299.8,1.16666666666667
"AKP_B10_RI_05","KATM","2012",3,21.00666667,413696.06,6438320.5,7,11299.8,1.16666666666667
